"category","id","name","price_range","user_id"
"Science, Technology & Engineering","204598186697469","WATonomous","","10218420976143016"
"Education","172004503451911","KuzoClass","","10218420976143016"
"Software Company","348823402309609","Srvice","","10218420976143016"
"College & University","187057569961","Waterloo Engineering","","10218420976143016"
"Science, Technology & Engineering","1414830838629390","MH Technologies","","10218420976143016"
"Website","121462641746794","Compiled.Social","","10218420976143016"
"Personal Blog","483273171860145","LENSbible","","10218420976143016"
"College & University","161312597236791","uWaterloo Alumni Singapore","","10218420976143016"
"College & University","321586106907","UWaterloo alumni","","10218420976143016"
"College & University","170027119744995","ASX: Astronomy & Space Exploration Society","","10218420976143016"
"Publisher","35585623895","Entrepreneur","","10218420976143016"
"Theme Restaurant","1707439379518319","Central Perk SG","$$$$","10218420976143016"
"Media/News Company","407570359384477","AJ+","","10218420976143016"
"Arts & Humanities Website","102099916530784","Humans of New York","","10218420976143016"
"Education Website","325000504184250","CrashCourse","","10218420976143016"
"Games/Toys","82061850555","League of Legends","","10218420976143016"
"Internet Company","359142437477673","Darktips","","10218420976143016"
"Interest","108614982500363","Basketball","","10218420976143016"
"App Page","170086771112","TeamViewer","","10218420976143016"
"Food & Beverage Company","366595173362042","Mountain Dew SG","","10218420976143016"
"Monarch","224571034325919","Marco ""The Champion of Men"" Francis","","10218420976143016"
"Video Game","115605765132094","PlayStation Europe","","10218420976143016"
"Interest","110770632276416","Computers","","10218420976143016"
"Middle School","106114342752442","Overseas Family School","$$$$","10218420976143016"
"Education Company","135609093117243","Edmodo","","10218420976143016"
"Cause","106992736032001","causes.com","","10218420976143016"
"Canadian Restaurant","203645203163462","Cafe Troy","$$","10218122430519660"
"Environmental Conservation Organization","89289520171","UWAFT - University of Waterloo Ecocar Team","","10218122430519660"
"News & Media Website","30843680008","blogTO","","10218122430519660"
"School","1605219649503824","Mathematical Memes for Logarithmically Scaled Teens","","10218122430519660"
"Society & Culture Website","419913568381772","Computer Science Memes for Travelling Salesman Teens","","10218122430519660"
"Comedian","1672497129742236","CantoMando","","10218122430519660"
"Movie","127923417514","Toy Story UK","","10218122430519660"
"Tea Room","315275741993229","CoCo Fresh Tea & Juice Ontario","$","10218122430519660"
"Public Figure","181227178573738","Clothes Encounters","","10218122430519660"
"Artist","264970223567940","Liz Climo","","10218122430519660"
"Community","957674534267737","Markham Wildcats Volleyball","","10218122430519660"
"Movie","104377417068","Harry Potter","","10218122430519660"
"Website","528572717569139","Facebook","","10218122430519660"
"Food & Beverage","2221678617878265","Coca-Cola","","10218122430519660"
"Food & Beverage Company","1983996591861064","Nutella","","10218122430519660"
"Video Game","1425497747758821","Angry Birds","","10218122430519660"
"Animal Breed","359731914053939","Bichon Frise","","10218122430519660"
"Movie","863621010372785","Голодні Ігри","","10218122430519660"
"Community Organization","1375849709412076","Plastic Action Eco-Fair","","10218122430519660"
"Organization","397798647440101","Heineken","","10218122430519660"
"Food & Beverage Company","146775140426","McDonald's Canada","","10218122430519660"
"Clothing (Brand)","2271232919822283","Victoria's Secret","","10218122430519660"
"Local Business","487896204685941","Lumière","","10218122430519660"
"Comedian","209021842448251","David So","","10218122430519660"
"Food & Beverage Company","200254553352488","Popeyes Canada","","10218122430519660"
"Community","366516923504721","Humans of Agincourt","","10218122430519660"
"Dessert Shop","287104264379","Butter Avenue","$$$","10218122430519660"
"Artist","147561161968593","Sofia Vergara","","10218122430519660"
"Comedian","201288194204","Jus Reign","","10218122430519660"
"Artist","685302218232254","Eugene Lee Yang","","10218122430519660"
"Community","673684579394036","HOVP","","10218122430519660"
"Community","581894338589110","Humans of Bethune","","10218122430519660"
"Actor","37627283118","Norman Reedus","","10218122430519660"
"Artist","211963272174199","Steven Yeun","","10218122430519660"
"Public Figure","119814350176","ShayCarl","","10218122430519660"
"Food & Beverage Company","212051388816535","NESTEA","","10218122430519660"
"Public Figure","127240277382278","Waffles the Cat","","10218122430519660"
"High School","104109969624312","Agincourt Collegiate Institute","","10218122430519660"
"Public Figure","144995165582858","Yerin Park","","10218122430519660"
"Food & Beverage Company","318322021420","Swiss Chalet","","10218122430519660"
"Company","228770063063","Montana's BBQ","","10218122430519660"
"Company","90752524058","Canadian Tire","","10218122430519660"
"TV Show","8816160747","America’s Next Top Model","","10218122430519660"
"Food & Beverage Company","145621403662","Starbucks Canada","","10218122430519660"
"Community","611995712229442","Society for Addressing Student Stress","","10218122430519660"
"Public Figure","78618944219","Miranda Sings","","10218122430519660"
"Public Figure","505559166124517","Amanda Steele","","10218122430519660"
"Personal Website","235014179868339","Zoella","","10218122430519660"
"Public Figure","175798449143602","Meredith Foster","","10218122430519660"
"Community","131255153631528","See more","","10218122430519660"
"Travel Agency","451167771970487","Walt Disney World","","10218122430519660"
"Food & Beverage Company","114901535204337","Arby's Canada","","10218122430519660"
"Politician","6815841748","Barack Obama","","10218122430519660"
"Movie","612644588807778","Bajo La Misma Estrella","","10218122430519660"
"TV Show","598384806899361","Sherlockians","","10218122430519660"
"Sandwich Shop","51500251811","Arby's","","10218122430519660"
"Artist","154213784747095","Robert Downey Jr","","10218122430519660"
"Public Figure","369613900572","Nick Vujicic","","10218122430519660"
"Artist","108359889188238","Ryan Gosling","","10218122430519660"
"Artist","115442406762","matthew gray gubler (as official as it gets)!","","10218122430519660"
"Amusement & Theme Park","95469803923","Canada's Wonderland","$$","10218122430519660"
"Artist","418706804839777","Tom Hiddleston","","10218122430519660"
"City","109446562415595","Volleyball","","10218122430519660"
"Arts & Humanities Website","102099916530784","Humans of New York","","10218122430519660"
"Sports League","209361989215","Olympic","","10218122430519660"
"Public Figure","153789846425","Bethany Mota","","10218122430519660"
"Actor","205344452828349","George Takei","","10218122430519660"
"App Page","21785951839","9GAG","","10218122430519660"
"TV Show","163565280410742","Sherlock","","10218122430519660"
"Actor","16178305388","David Tennant","","10218122430519660"
"TV Show","163127987083440","Sherlockology","","10218122430519660"
"TV Show","76613428183","Community","","10218122430519660"
"Video Game","506902009850370","Call of Duty","","10218122430519660"
"Fast Food Restaurant","248132900755","Subway Canada","","10218122430519660"
"Chef","189346347899301","Food Porn","","10218122430519660"
"Movie Character","465927583576413","Minions","","10218122430519660"
"Public Figure","53754642881","Michelle Phan","","10218122430519660"
"Comedian","142314305831739","Ian Hecox","","10218122430519660"
"TV Show","110475388978628","The Walking Dead","","10218122430519660"
"Artist","12735482841","Wesley Chan","","10218122430519660"
"Artist","169014533144650","Ki Hong Lee","","10218122430519660"
"Public Figure","146853695356556","Mychonny","","10218122430519660"
"Community","145823195467579","Shoot Anonymous","","10218122430519660"
"Frozen Yogurt Shop","136295880553","Yutopia","$","10218122430519660"
"Artist","608340332518673","Jenny Xia Art","","10218122430519660"
"Product/Service","100484820802","Apple TV","","10218122430519660"
"Public Figure","335861046499039","Jamie's World","","10218122430519660"
"Artist","486871584684778","Oh My Krisus","","10218122430519660"
"Interest","106225166074430","Dance","","10218122430519660"
"Musician","497305810301446","Harry Styles","","10218122430519660"
"Media/News Company","337567659670741","God Updates","","10218122430519660"
"Athlete","262187880534402","Mako","","10218122430519660"
"Community","102155344957","Taco Bell Canada","","10218122430519660"
"Interest","152213894796824","Killing Justin Bieber","","10218122430519660"
"App Page","324690977564821","Cooking Mama Friends' Cafe","","10218122430519660"
"Public Figure","202825023077692","Beast","","10218122430519660"
"Media/News Company","337568469617593","News at Seven","","10218122430519660"
"Public Figure","80329313253","Boo","","10218122430519660"
"Public Figure","72947896764","Smosh","","10218122430519660"
"Games/Toys","161676290609266","My Shops","","10218122430519660"
"Public Figure","681717898620328","SupremeDreams_1","","2916504498365637"
"Party Entertainment Service","104319517582378","PartyFinder","","2916504498365637"
"Software","768238663507472","Citizen Hacks","","2916504498365637"
"Community","1937663523126554","Pokémon GO Hub","","2916504498365637"
"Computer Company","1548991658675739","DeltaHacks","","2916504498365637"
"Computer Company","728365547243969","Hack Western","","2916504498365637"
"College & University","123316158509983","Co-operative Education Employer Information Sessions","","2916504498365637"
"Photographer","1605601699458027","Syndicate Photography","","2916504498365637"
"Community","209059356351519","EngHack","","2916504498365637"
"Shopping Mall","118864988184732","Scarborough Town Centre","$$","2916504498365637"
"Travel & Transportation","388084788060853","Waterloop","$$","2916504498365637"
"College & University","160642760671253","University of Waterloo Nanorobotics Group","","2916504498365637"
"College & University","234082779969542","Midnight Sun Solar Rayce Car Team","","2916504498365637"
"Science, Technology & Engineering","250653468374699","WARG - Waterloo Aerial Robotics Group","$$","2916504498365637"
"Education","1085708554926714","SE Soc - Waterloo Software Engineering Society","","2916504498365637"
"Nonprofit Organization","127742190569500","Engineers Without Borders EWB - University of Waterloo","","2916504498365637"
"Education","296600410369830","Student Life Network","","2916504498365637"
"Musician/Band","83711079303","Drake","","2916504498365637"
"Burger Restaurant","681852671926290","Top Gun  burgers","$$","2916504498365637"
"College & University","190057317703044","Waterloo Intramurals","$$","2916504498365637"
"Business Service","115216278571200","Concept by Velocity","","2916504498365637"
"Political Organization","188880394486886","Waterloo Engineering Society","$","2916504498365637"
"College & University","187057569961","Waterloo Engineering","","2916504498365637"
"School","5802560757","University of Waterloo","","2916504498365637"
"Financial Planner","268452016650171","Wealthsimple","","2916504498365637"
"Nonprofit Organization","1666713726935062","Laurier Photography Club","$$","2916504498365637"
"Product/Service","383156958804255","E-Quip JACO","","2916504498365637"
"Nonprofit Organization","168163280608227","The Link's Leadership in Business Conference","","2916504498365637"
"Nonprofit Organization","1663930380567417","Toronto Youth Network","","2916504498365637"
"Nonprofit Organization","511424635889457","Socialseed","","2916504498365637"
"Media/News Company","8719774366","Complex","","2916504498365637"
"Computer Company","200038100360549","Project Include","","2916504498365637"
"Education","388655174641163","Free Quran Education","","2916504498365637"
"Specialty School","278086032658113","Learn2Rock","","2916504498365637"
"Festival","131577560197134","MuslimFest","Not Applicable","2916504498365637"
"Artist","310247325755081","Marina Amaral - Photo Colorization","","2916504498365637"
"Public Figure","993384320747887","CalebCity","","2916504498365637"
"Artist","666964646732880","Wil Aime","","2916504498365637"
"Website","148442021887901","Indeed Sverige","","2916504498365637"
"Movie","118194755634","Up","","2916504498365637"
"Nonprofit Organization","638849639645058","SPRED","","2916504498365637"
"News & Media Website","30843680008","blogTO","","2916504498365637"
"Education","455068951208883","TDSB Student Senate","","2916504498365637"
"Apparel & Clothing","1227825063976798","Star145","$$","2916504498365637"
"Event","1718505948427425","Spotlight Charity Concert","","2916504498365637"
"Media/News Company","251570525003144","Ball-Control","","2916504498365637"
"Product/Service","184836415317835","Waseelah International","","2916504498365637"
"Personal Blog","1873865812832205","The Chicken Connoisseur","","2916504498365637"
"Clothing (Brand)","665569133594737","ZARA","","2916504498365637"
"Media/News Company","407570359384477","AJ+","","2916504498365637"
"College & University","105930651606","Harvard University","","2916504498365637"
"Bags/Luggage","609798122420987","VINTA","","2916504498365637"
"Bags/Luggage","706850412784732","Parkland","","2916504498365637"
"TV Channel","387986324607909","BT Sport","","2916504498365637"
"Non-Governmental Organization (NGO)","1112318898838609","WE","","2916504498365637"
"Public Figure","19667888299","Yasir Qadhi","","2916504498365637"
"Coach","1663036947297791","How to DAD","","2916504498365637"
"Media/News Company","250937974938474","Plaantik","","2916504498365637"
"Media/News Company","135978896526107","Marca in English","","2916504498365637"
"Arts & Humanities Website","6452638289","DeviantArt","","2916504498365637"
"Recreation & Sports Website","319485334803281","COPA90","","2916504498365637"
"Nonprofit Organization","603555879678837","MY Voice Canada","$","2916504498365637"
"Clothing (Brand)","1163194230358186","Armani アルマーニ","","2916504498365637"
"Charity Organization","658648300904258","Action CIND","","2916504498365637"
"Media/News Company","1614251518827491","Tasty","","2916504498365637"
"Government Organization","168170833215856","International Space Station","","2916504498365637"
"Sports Team","371392789686007","Los Angeles Football Club","","2916504498365637"
"Company","213364018997261","Wicked Games Inc.","","2916504498365637"
"Broadcasting & Media Production Company","650612988358231","IBN","$","2916504498365637"
"Journalist","858467387547050","Greg Stobart","","2916504498365637"
"Politician","21751825648","Justin Trudeau","","2916504498365637"
"Movie","104377417068","Harry Potter","","2916504498365637"
"College & University","126533127390327","Massachusetts Institute of Technology (MIT)","","2916504498365637"
"Nonprofit Organization","1486654351639531","Blue Project Co","","2916504498365637"
"Media/News Company","206936646000827","Curiosity","","2916504498365637"
"Community","144629142339646","Google - Please create a Doodle for May 12th","","2916504498365637"
"Recreation & Sports Website","163182977072451","Football Daily","","2916504498365637"
"Journalist","125161270911664","Ben Hayward","","2916504498365637"
"Nonprofit Organization","220534562160","May 12th International Awareness Day","","2916504498365637"
"Public Figure","939733516048463","Batman","","2916504498365637"
"Public Figure","381659068706560","Superman","","2916504498365637"
"Company","248819758864166","DC Comics","","2916504498365637"
"Video Game","435609070611782","Nintendo","","2916504498365637"
"Public Figure","162340013860349","Khalid Latif","","2916504498365637"
"Amateur Sports Team","429999777097852","Islamic Soccer League","","2916504498365637"
"Arts & Entertainment","296285720921109","Disney","","2916504498365637"
"Motivational Speaker","59816241970","Mufti Ismail Menk","","2916504498365637"
"Public Figure","118863654899331","Mohamed Zeyara","","2916504498365637"
"Nonprofit Organization","111658128847068","Amnesty International","","2916504498365637"
"School","1575038976114474","Humans of the TDSB","","2916504498365637"
"Website","528572717569139","Facebook","","2916504498365637"
"Charity Organization","170007456357316","Youth and Philanthropy Initiative (YPI)","","2916504498365637"
"Computers (Brand)","485602594950963","Windows","","2916504498365637"
"Food & Beverage","2221678617878265","Coca-Cola","","2916504498365637"
"Food & Beverage Company","218767342027177","KitKat","","2916504498365637"
"Recreation & Sports Website","123548937751259","Squawka Football","","2916504498365637"
"Performance & Event Venue","882516475157911","FC Bayern München","","2916504498365637"
"Community Organization","173716712665500","MIST Toronto","$$","2916504498365637"
"Sports League","9733218886","Major League Soccer (MLS)","","2916504498365637"
"Shopping & Retail","10611651804","Toronto FC","","2916504498365637"
"Science, Technology & Engineering","204598186697469","WATonomous","","2402833493164545"
"Education Website","2189212347992631","Carcinogenic Memes for Nano Scale Teens","","2402833493164545"
"Political Organization","188880394486886","Waterloo Engineering Society","$","2402833493164545"
"Musician/Band","127464250623646","ARJUN","","2402833493164545"
"Event","834185943274658","Hack the North","","2402833493164545"
"Clothing (Brand)","976271015858532","H&M","","2402833493164545"
"Education","1485899191492645","WCS Business Club + DECA","","2402833493164545"
"Public Figure","397259413732692","Markian","","2402833493164545"
"Actor","176634649122500","Jake T. Austin","","2402833493164545"
"Media/News Company","23497828950","National Geographic","","2402833493164545"
"Media/News Company","697789576948199","BuzzFeed India","","2402833493164545"
"Community","444659522615773","Team Bio: Taking Action to Combat Water Pollution","","2402833493164545"
"Community","234177650441226","Molar Mass Memes for Moisturized Teens","","2402833493164545"
"Artist","147286541981923","Josh Hutcherson","","2402833493164545"
"Public Figure","119669298068344","Bella Thorne","","2402833493164545"
"Musician/Band","53856904324","Flo Rida","","2402833493164545"
"Politician","21751825648","Justin Trudeau","","2402833493164545"
"Clothing (Brand)","12816526310","Bluenotes","","2402833493164545"
"Musician/Band","9934379006","Miranda Cosgrove","","2402833493164545"
"Design & Fashion","576470179201134","RenderRize","","2402833493164545"
"Retail Company","1784182941909797","Hollister Co.","","2402833493164545"
"TV Channel","276172940703","National Geographic TV","","2402833493164545"
"Musician/Band","275004089257723","Leighton Meester","","2402833493164545"
"Community Organization","172863816183133","CHCI Key Club","","2402833493164545"
"Musician/Band","32752049981","Cimorelli","","2402833493164545"
"Musician/Band","9189674485","Ed Sheeran","","2402833493164545"
"Artist","506921692718847","Jacqueline Fernandez","","2402833493164545"
"Musician","497305810301446","Harry Styles","","2402833493164545"
"Musician/Band","182032895154467","Alex Aiono","","2402833493164545"
"Sport","115276211820909","Vollyball","","2402833493164545"
"Musician/Band","112963302097394","Cher Lloyd","","2402833493164545"
"Musician/Band","19061333123","Enrique Iglesias","","2402833493164545"
"TV Show","17774451468","Mr Bean","","2402833493164545"
"Musician/Band","7126051465","Katy Perry","","2402833493164545"
"Artist","470402606305707","Ian Somerhalder","","2402833493164545"
"Religious Center","361339567311711","Sai Bhakti Dham, Kitchener","","2402833493164545"
"Public Figure","197997523559852","Shah Rukh Khan","","2402833493164545"
"Actor","175680555811952","Michael Malarkey","","2402833493164545"
"Music Chart","126963587405355","Little Mix","","2402833493164545"
"Musician/Band","9770929278","Adele","","2402833493164545"
"Musician/Band","9208539755","Demi Lovato","","2402833493164545"
"Musician/Band","6564142497","Usher","","2402833493164545"
"Musician/Band","5170395767","Jennifer Lopez","","2402833493164545"
"Artist","370020619738714","Deepika Padukone","","2402833493164545"
"Public Figure","322311971179920","Joe Sugg","","2402833493164545"
"City","108196582538810","Science","","2402833493164545"
"Musician/Band","152288768736","Victoria Duffield","","2402833493164545"
"Public Figure","114696805612","Kim Kardashian West","","2402833493164545"
"Musician/Band","45309870078","Eminem","","2402833493164545"
"Education","8265402900","Shad Canada","","2402833493164545"
"Musician/Band","7961985974","Selena Gomez","","2402833493164545"
"Artist","819736761387920","Ranveer Singh","","2402833493164545"
"Community","585039184971097","Humans of SHAD","","2402833493164545"
"Personal Blog","236993106384457","Desi Memes","","2402833493164545"
"Musician","145300805513355","Jessie J","","2402833493164545"
"Movie","137918652903264","Disney PROM","","2402833493164545"
"Clothing (Brand)","60620847134","Garage","","2402833493164545"
"Entertainment Website","43491889189","Pretty Little Liars","","2402833493164545"
"Media/News Company","21898300328","BuzzFeed","","2402833493164545"
"Artist","9085937115","Leonardo DiCaprio","","2402833493164545"
"Food & Beverage Company","218767342027177","KitKat","","2402833493164545"
"TV Show","541573212554421","Ravenswood","","2402833493164545"
"Movie","216410885045047","Titanic","","2402833493164545"
"Artist","214121152104124","Paul Wesley","","2402833493164545"
"Neighborhood","105788652787522","Swimming","","2402833493164545"
"Food & Beverage Company","146775140426","McDonald's Canada","","2402833493164545"
"App Page","53427562027","Goodreads","","2402833493164545"
"Public Figure","26012002239","Ellen DeGeneres","","2402833493164545"
"Travel Company","45938834789","ME to WE","","2402833493164545"
"Clothing (Brand)","525738414202280","Calvin Klein","","2402833493164545"
"Event","419334281784552","Sai Bhaktidham 5th Anniversary - Canada 150th Anniversary","","2402833493164545"
"Musician/Band","134119343404312","Louis Tomlinson","","2402833493164545"
"Musician/Band","121930497861753","One Direction","","2402833493164545"
"Food & Beverage Company","288162265211","5 Gum","","2402833493164545"
